2017 L0206 CIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/02/17,,4/09/17,,4/30/17,,5/14/17,,6/11/17,,6/25/17,,7/01/17,,7/02/17,,7/23/17,,8/27/17,,9/03/17,,09/16/17,,09/17/17,,10/08/17,,
,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
Eric Fagan,1,50,1,50,5,30,1,50,1,50,0,0,1,50,2,42,2,42,0,0,1,50,1,50,0,0,1,50,514
Evan McCorquodale,0,0,6,28,6,28,7,26,2,42,2,42,0,0,3,35,1,50,2,42,4,32,4,32,0,0,2,42,399
Steve Knight,5,30,4,32,4,32,2,42,0,0,1,50,3,35,0,0,0,0,3,35,3,35,23,7,3,35,5,30,363
Alan Elwood,3,35,3,35,0,0,4,32,7,26,6,28,4,32,5,30,15,15,35,1,9,22,0,0,0,0,6,28,284
Cameron Fox,0,0,9,22,9,22,5,30,10,20,0,0,5,30,6,28,4,32,8,24,8,24,5,30,0,0,9,22,284
Scott Hamble,13,17,11,19,2,42,14,16,9,22,0,0,2,42,10,20,0,0,13,17,5,30,22,8,4,32,0,0,265
Ben Stahl,8,24,7,26,0,0,6,28,11,19,7,26,0,0,8,24,6,28,11,19,0,0,15,15,10,20,8,24,253
Taylor Bookout,0,0,0,0,15,15,15,15,15,15,12,18,0,0,12,18,3,35,10,20,11,19,6,28,5,30,3,35,248
Drew Lansing,DQ,DQ,5,30,13,17,3,35,0,0,DQ,DQ,0,0,9,22,20,10,4,32,2,42,17,13,6,28,0,0,229
Kacy Stahl,0,0,18,12,11,19,12,18,13,17,9,22,6,28,11,19,14,16,0,0,0,0,8,24,11,19,4,32,226
Tracy Conlin,14,16,14,16,0,0,8,24,14,16,9,22,10,20,0,0,10,20,15,15,16,14,9,22,0,0,10,20,205
Mark Nevill,17,13,13,17,10,20,13,17,18,12,15,15,7,26,20,10,0,0,17,13,18,12,7,26,0,0,0,0,181
Levi Wilbur,0,0,28,2,8,24,25,5,0,0,0,0,9,22,15,15,5,30,16,14,17,13,10,20,7,26,7,26,197
Aaron Maxwell,10,20,0,0,26,4,10,20,0,0,0,0,21,9,14,16,0,0,9,22,6,28,0,0,8,24,22,8,151
Jonathan Schillinger,0,0,25,5,18,12,0,0,25,5,22,8,12,18,23,7,8,24,0,0,23,7,11,19,14,16,13,17,138
Eric Maitlen,12,18,16,14,7,26,0,0,0,0,0,0,0,0,0,0,12,18,5,30,10,20,0,0,0,0,0,0,126
Sam Earnest,0,0,0,0,19,11,19,11,24,6,17,13,0,0,21,9,9,22,23,7,22,8,12,18,32,1,25,5,111
Grant Pendrey,0,0,19,11,0,0,0,0,28,2,13,17,8,24,25,5,0,0,14,16,13,17,0,0,0,0,0,0,92
John Vottero,0,0,17,13,0,0,18,12,21,9,19,11,16,14,18,12,0,0,20,10,21,9,0,0,0,0,0,0,90
Dave Creech ,31,1,0,0,0,0,28,2,0,0,14,16,11,19,17,13,7,26,31,1,25,5,0,0,0,0,20,10,93
Amber McGunegill,0,0,26,4,0,0,26,4,26,4,20,10,15,15,19,11,0,0,24,6,24,6,24,6,13,17,15,15,98
Peter Bruce,18,12,0,0,0,0,0,0,0,0,8,24,0,0,0,0,0,0,6,28,0,0,0,0,0,0,0,0,64
Ryan Fox,23,7,0,0,0,0,24,6,16,14,16,14,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,0,55
Travis Schebler,16,14,15,15,0,0,23,7,17,13,0,0,0,0,0,0,0,0,DQ,DQ,19,11,0,0,0,0,19,11,71
Corey Flint,29,1,23,7,0,0,16,14,0,0,21,9,22,8,0,0,0,0,25,5,0,0,0,0,0,0,0,0,44
Matt Geist,0,0,0,0,12,18,0,0,19,11,0,0,13,17,32,1,0,0,0,0,0,0,0,0,0,0,0,0,47
B.J. Schnettler,25,5,27,3,0,0,21,9,22,8,0,0,0,0,0,0,0,0,0,0,28,2,19,11,22,8,0,0,46
J.D. Marksbury,19,11,0,0,0,0,9,22,23,7,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,0,0,0,42
Ron Petersen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,12,18,0,0,0,0,0,0,36
Paul Wildridge,32,1,29,1,0,0,30,1,0,0,25,5,27,3,30,1,18,12,0,0,0,0,0,0,0,0,26,4,28
John Ewing,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Richard Mienheartt,38,1,22,8,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Blake Korth,0,0,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,34
Mike Baukert,0,0,0,0,22,8,0,0,0,0,28,2,0,0,33,1,0,0,33,1,29,1,0,0,0,0,23,7,20
Bill Bruce,37,1,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Josh Schneider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,0,0,0,20,10,0,0,13
Jeff Norris,30,1,0,0,24,6,0,0,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,11
Randy Cassidy Jr.,24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Meghan Peri,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rodney Evans,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Daryl Dillon,0,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
