2017 LO206- Masters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Race 1,,Race 2,,Race 3,,Race 4,,Race 5,,Race 6,,Race 7,,Race 8,,Race 9,,Race 10,,Race 11,,Race 12,,Race 13,,Race 14,,
,4/02/17,,4/09/17,,4/30/17,,5/14/17,,6/11/17,,6/25/17,,7/01/17,,7/02/17,,7/23/17,,8/27/17,,9/03/17,,09/16/17,,09/17/17,,10/08/17,,
Driver,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Pos.,Pts.,Total
John O'Keefe,1,50,2,42,1,50,2,42,1,50,0,0,0,0,5,30,1,50,0,0,1,50,2,42,1,50,3,35,491
Mark Nevill,0,0,3,35,0,0,0,0,2,42,1,50,2,42,2,42,2,42,1,50,4,32,1,50,2,42,2,42,469
George Wilson,2,42,1,50,3,35,3,35,4,32,2,42,7,26,7,26,3,35,0,0,9,22,5,30,0,0,0,0,375
Corey Flint,0,0,12,18,0,0,7,26,6,28,5,30,4,32,4,32,0,0,2,42,8,24,8,24,3,35,9,22,313
Rob Lehmann,4,32,6,28,8,24,5,30,0,0,8,24,0,0,3,35,6,28,7,26,7,26,4,32,8,24,0,0,309
John Ewing,3,35,5,30,2,42,1,50,0,0,0,0,0,0,0,0,0,0,3,35,2,42,20,10,21,9,1,50,303
Kevin Scott,5,30,7,26,0,0,8,24,5,30,0,0,3,35,9,22,8,24,0,0,10,20,6,28,7,26,10,20,285
John Vottero,0,0,4,32,0,0,10,20,3,35,3,35,8,24,11,19,0,0,4,32,6,28,0,0,0,0,4,32,257
John Fox,12,18,0,0,4,32,9,22,0,0,7,26,9,22,12,18,9,22,11,19,11,19,0,0,13,17,7,26,241
Fred Loeffler,20,10,9,22,5,30,24,6,0,0,10,20,0,0,0,0,11,19,12,18,15,15,9,22,9,22,16,14,198
Rodney Evans,19,11,10,20,9,22,13,17,0,0,6,28,0,0,0,0,7,26,8,24,12,18,0,0,10,20,18,12,198
Tom Harleman,11,19,0,0,7,26,22,8,8,24,4,32,0,0,0,0,13,17,0,0,0,0,12,18,6,28,11,19,191
J.D. Marksbury,0,0,0,0,0,0,4,32,12,18,0,0,1,50,6,28,0,0,6,28,0,0,0,0,0,0,5,30,186
Stan Beard,0,0,15,15,14,16,15,15,14,16,0,0,10,20,0,0,10,20,15,15,20,10,16,14,12,18,17,13,172
Dave Creech,16,14,0,0,0,0,16,14,28,2,0,0,5,30,8,24,5,30,13,17,14,16,0,0,0,0,8,24,171
Erin Rake,9,22,8,24,0,0,11,19,19,11,15,15,0,0,13,17,0,0,28,2,5,30,7,26,0,0,0,0,166
James Enney,15,15,11,19,0,0,12,18,26,4,9,22,0,0,10,20,0,0,18,12,0,0,14,16,0,0,0,0,126
Eric Mussler,22,8,0,0,17,13,0,0,21,9,20,10,14,16,19,11,0,0,22,8,22,8,18,12,17,13,27,3,111
Daryl Dillon,24,6,18,12,11,19,0,0,20,10,16,14,0,0,0,0,0,0,21,9,18,12,0,0,15,15,23,7,104
Bennett Taylor,0,0,22,8,0,0,25,5,0,0,14,16,0,0,15,15,14,16,16,14,17,13,0,0,0,0,19,11,98
Bill Bruce,0,0,14,16,0,0,0,0,11,19,17,13,0,0,0,0,12,18,14,16,0,0,15,15,0,0,0,0,97
Tad Stahl,23,7,16,14,16,14,18,12,25,5,0,0,0,0,0,0,0,0,29,1,0,0,19,11,16,14,0,0,78
David Lee,26,4,21,9,0,0,21,9,22,8,18,12,0,0,16,14,0,0,25,5,21,9,0,0,0,0,26,4,74
